,City,Lat,Lon,Temp,Humidity,Wind Speed,Cloud,Country,Date Time
68,Clyde River,70.4692,-68.5914,26.83,80,8.05,90,CA,1634928555
69,Yaan,7.3833,8.5667,73.76,91,8.34,100,NG,1634928556
70,Albany,42.6001,-73.9662,62.47,65,1.01,99,US,1634928308
71,Humaitá,-7.5061,-63.0208,89.13,57,2.8,100,BR,1634928557
72,Trelew,-43.249,-65.3051,70.57,11,9.95,0,AR,1634928557
73,Saint-Augustin,51.226,-58.6502,46.8,50,5.7,100,CA,1634927831
74,Qaanaaq,77.484,-69.3632,-1.73,67,9.06,0,GL,1634928558
75,Baishishan,43.5833,127.5667,32.56,72,3.33,0,CN,1634928558
76,Fortuna,40.5982,-124.1573,60.98,63,5.99,20,US,1634928558
77,Neuquén,-38.9516,-68.0591,67.89,34,5.75,0,AR,1634928559
78,Biscarrosse,44.3945,-1.1672,60.75,88,6.91,0,FR,1634928559
79,Hambantota,6.1241,81.1185,75.54,100,1.14,20,LK,1634928560
80,Seydi,39.4816,62.9137,44.73,36,8.86,12,TM,1634928560
81,Lewiston,44.1003,-70.2148,71.74,68,11.5,20,US,1634928561
82,Alofi,-19.0595,-169.9187,73.29,68,11.5,100,NU,1634928562
83,Saurimo,-9.6608,20.3916,70.02,81,2.64,23,AO,1634928563
84,Belmonte,-15.8631,-38.8828,78.8,78,11.72,94,BR,1634928564
85,Mahébourg,-20.4081,57.7,75.25,83,6.91,75,MU,1634928565
86,Tromsø,69.6496,18.957,30.38,64,2.3,75,NO,1634928043
87,Juneau,58.3019,-134.4197,45.1,97,3.44,90,US,1634928425
88,Marawi,7.9986,124.2928,67.64,94,1.16,100,PH,1634928567
89,Achacachi,-16.05,-68.6833,59.63,38,12.35,14,BO,1634928567
90,Norman Wells,65.282,-126.8329,41.04,70,18.41,75,CA,1634928567
91,Kangaatsiaq,68.3065,-53.4641,24.06,73,4.9,14,GL,1634928568
92,Pevek,69.7008,170.3133,12.61,92,7.85,100,RU,1634928569
93,Karratha,-20.7377,116.8463,79.2,40,4.7,5,AU,1634928570
94,Kasongo,-4.45,26.6667,70.14,91,2.28,100,CD,1634928570
95,Maraã,-1.8333,-65.3667,90.23,52,3.02,72,BR,1634928571
96,Airai,-8.9266,125.4092,62.65,74,2.24,100,TL,1634928571
97,Anadyr,64.75,177.4833,14.5,92,13.0,75,RU,1634928572
98,Asău,46.4333,26.4,58.28,65,4.81,100,RO,1634928572
99,Port Elizabeth,-33.918,25.5701,61.11,77,5.75,0,ZA,1634928529
100,Vao,-22.6667,167.4833,72.43,80,1.43,0,NC,1634928573
101,Mahanoro,-19.9,48.8,73.18,86,5.32,99,MG,1634928573
102,Fairbanks,64.8378,-147.7164,30.6,89,0.0,90,US,1634928302
103,Palmas,-10.2128,-48.3603,85.87,66,8.05,40,BR,1634928574
104,Tuatapere,-46.1333,167.6833,50.47,77,3.47,100,NZ,1634928574
105,Guerrero Negro,27.9769,-114.0611,74.57,61,14.63,1,MX,1634928575
106,Newport,51.5877,-2.9984,53.85,81,5.37,12,GB,1634928575
107,Vytegra,61.0064,36.4481,42.17,79,18.88,100,RU,1634928577
108,Uauá,-9.8414,-39.4817,85.96,48,11.81,100,BR,1634928577
109,San Policarpo,12.1791,125.5072,78.64,85,15.66,100,PH,1634928119
110,Saint-Philippe,-21.3585,55.7679,74.79,82,7.38,24,RE,1634928578
111,Hong Kong,22.2855,114.1577,68.25,77,3.0,90,HK,1634928524
112,Rawson,-43.3002,-65.1023,65.39,24,9.35,0,AR,1634928067
113,Mareeba,-17.0,145.4333,72.32,95,2.26,100,AU,1634928579
114,Qaqortoq,60.7167,-46.0333,36.1,97,11.48,100,GL,1634928579
115,Toora-Khem,52.4675,96.11,28.71,59,0.72,28,RU,1634928580
116,Cidreira,-30.1811,-50.2056,69.31,69,10.09,2,BR,1634928580
117,Marsá Maţrūḩ,31.3525,27.2453,69.42,60,6.46,0,EG,1634928580
118,Lata,40.1629,-8.3327,63.01,77,2.71,0,PT,1634928104
119,Thompson,55.7435,-97.8558,32.16,80,5.75,90,CA,1634928581
120,Soure,-0.7167,-48.5233,85.91,63,10.94,100,BR,1634928582
121,Saint Paul Harbor,57.79,-152.4072,42.31,61,16.11,90,US,1634928582
122,Ahipara,-35.1667,173.1667,59.61,93,20.71,100,NZ,1634928583
123,Nyurba,63.2842,118.3319,33.57,92,8.55,100,RU,1634928583
124,Chokurdakh,70.6333,147.9167,-13.74,99,2.53,99,RU,1634928583
125,Brownsville,25.9018,-97.4975,91.02,59,3.0,40,US,1634928526
126,Kozhva,65.1073,57.0459,34.9,97,11.07,100,RU,1634928584
127,Hithadhoo,-0.6,73.0833,81.37,75,8.25,28,MV,1634928584
128,Morón,-34.6534,-58.6198,75.06,60,5.99,90,AR,1634928585
129,San Luis,-33.295,-66.3356,72.73,45,20.11,44,AR,1634928586
130,Nakasongola,1.3089,32.4564,66.69,91,2.19,38,UG,1634928586
131,Esim,4.8699,-2.2405,77.5,86,8.79,100,GH,1634928587
132,Bariloche,-41.1456,-71.3082,55.15,30,11.5,40,AR,1634928587
133,Dire Dawa,9.5931,41.8661,70.74,55,4.25,10,ET,1634928588
134,Ushuaia,-54.8,-68.3,49.66,46,19.57,40,AR,1634928588
135,Olafsvik,64.8945,-23.7142,41.27,94,23.62,100,IS,1634928589
136,Huaiyuan,32.973,117.1995,53.64,51,2.19,100,CN,1634928589
137,Tevaitoa,-16.7833,-151.5,78.57,78,9.48,62,PF,1634928098
138,Hermanus,-34.4187,19.2345,63.81,77,25.64,100,ZA,1634928590
139,San Cristobal,7.7669,-72.225,80.78,48,5.95,12,VE,1634928590
140,Ariquemes,-9.9133,-63.0408,87.03,61,2.06,100,BR,1634928591
141,Te Anau,-45.4167,167.7167,47.37,91,0.67,100,NZ,1634928591
142,Chui,-33.6971,-53.4616,69.53,51,8.57,21,UY,1634928592
143,Morondava,-20.2833,44.2833,72.93,68,10.4,96,MG,1634928592
144,Huaraz,-9.5333,-77.5333,67.26,46,1.92,65,PE,1634928593
145,Bambous Virieux,-20.3428,57.7575,75.22,83,6.91,75,MU,1634928593
146,Hilo,19.7297,-155.09,81.28,70,4.61,1,US,1634928519
147,Mackenzie,55.2999,-123.1698,44.82,81,4.61,1,CA,1634928594
148,Kaitangata,-46.2817,169.8464,47.88,91,2.44,100,NZ,1634928594
149,Biak,-0.9131,122.8766,76.35,81,3.89,40,ID,1634928595
150,Adeje,28.1227,-16.726,72.93,62,20.71,75,ES,1634928595
151,Broken Hill,-31.95,141.4333,62.31,55,19.57,7,AU,1634928596
152,Clarence Town,-32.5833,151.7833,61.86,98,2.21,8,AU,1634928596
153,Mar del Plata,-38.0023,-57.5575,58.08,89,3.0,90,AR,1634928424
154,Dwārka,22.2394,68.9678,79.5,65,14.14,0,IN,1634928597
155,Santiago del Estero,-27.7951,-64.2615,96.8,17,14.9,0,AR,1634928597
156,Samarai,-10.6167,150.6667,80.94,72,12.1,100,PG,1634928598
157,Cururupu,-1.8283,-44.8683,87.33,55,7.25,100,BR,1634928598
158,Gravina in Puglia,40.8197,16.4228,64.81,76,4.81,100,IT,1634928599
159,Geraldton,-28.7667,114.6,54.01,94,10.36,0,AU,1634928599
160,Esperance,-33.8667,121.9,48.04,78,6.87,1,AU,1634928600
161,Benguela,-12.5763,13.4055,74.98,76,9.53,17,AO,1634928600
162,Zhanakorgan,43.9098,67.2495,43.48,39,6.58,100,KZ,1634928601
163,Tuktoyaktuk,69.4541,-133.0374,26.6,93,4.61,90,CA,1634928602
164,Ibipeba,-11.6408,-42.0111,81.86,53,4.07,100,BR,1634928603
165,Lebu,-37.6167,-73.65,54.03,68,20.58,6,CL,1634928604
166,Ribeira Grande,38.5167,-28.7,72.0,73,9.22,20,PT,1634928604
167,Vila Velha,-20.3297,-40.2925,73.35,78,8.05,75,BR,1634927959
168,Altay,47.8667,88.1167,37.33,67,3.76,100,CN,1634928031
169,Korla,41.7597,86.1469,58.1,22,13.38,100,CN,1634928606
170,Pontes e Lacerda,-15.2261,-59.3353,96.87,36,3.8,48,BR,1634928606
171,East London,-33.0153,27.9116,61.74,77,4.61,0,ZA,1634928587
172,Vanimo,-2.6741,141.3028,75.7,88,3.76,100,PG,1634928607
173,Kirakira,-10.4544,161.9205,78.3,78,8.48,23,SB,1634928608
174,Huilong,31.8111,121.655,59.04,58,8.86,93,CN,1634928522
175,Cabo San Lucas,22.8909,-109.9124,90.52,65,1.01,0,MX,1634928609
176,Spirit River,55.7833,-118.8361,41.52,57,5.84,100,CA,1634928609
177,Polunochnoye,60.8697,60.4153,38.35,97,6.04,100,RU,1634928610
178,Hushitai,41.9322,123.5114,42.78,49,4.05,0,CN,1634928610
179,Caravelas,-17.7125,-39.2481,75.42,80,8.55,99,BR,1634928610
180,Mergen,49.1833,125.2167,36.18,69,6.22,9,CN,1634928611
181,Port Alfred,-33.5906,26.891,61.41,85,2.39,29,ZA,1634928611
182,Arroyo de la Encomienda,41.6096,-4.7969,55.15,65,9.22,0,ES,1634928612
183,Ust-Tsilma,65.441,52.1498,32.9,99,3.38,100,RU,1634928613
184,Beringovskiy,63.05,179.3167,17.53,87,15.39,100,RU,1634928613
185,Lagoa,39.05,-27.9833,68.43,79,13.69,100,PT,1634928613
186,Quatre Cocos,-20.2078,57.7625,75.09,77,8.97,94,MU,1634928614
187,Havre-St-Pierre,50.2334,-63.5986,48.79,93,18.41,90,CA,1634927974
188,Marzuq,14.4,46.4667,75.42,53,2.55,9,YE,1634928615
189,Hobyo,5.3505,48.5268,79.7,82,13.49,19,SO,1634928615
190,Leningradskiy,69.3833,178.4167,1.31,89,7.87,20,RU,1634928616
191,Shetpe,44.1667,52.1167,54.09,79,21.3,3,KZ,1634928616
192,Nanortalik,60.1432,-45.2371,38.86,97,2.28,100,GL,1634928617
193,Udachny,66.4167,112.4,25.93,92,12.55,98,RU,1634928066
194,Bodden Town,19.2833,-81.25,87.8,70,8.05,20,KY,1634928617
195,Kasangulu,-4.5911,15.1708,77.94,89,2.15,100,CD,1634928618
196,Khatanga,71.9667,102.5,-4.95,100,3.71,94,RU,1634928618
197,Río Gallegos,-51.6226,-69.2181,59.05,17,26.46,75,AR,1634928619
198,Iqaluit,63.7506,-68.5145,26.33,79,18.01,75,CA,1634928619
199,Mauá,-23.6678,-46.4614,78.08,66,10.02,11,BR,1634928620
200,Kavieng,-2.5744,150.7967,80.01,78,6.76,100,PG,1634928609
201,Almeria,37.1667,-2.3333,60.44,81,9.48,89,ES,1634928620
202,Ilulissat,69.2167,-51.1,3.11,79,5.68,6,GL,1634928621
203,Myaundzha,63.0494,147.1858,0.05,99,1.97,99,RU,1634928621
204,Port-Gentil,-0.7193,8.7815,78.76,83,10.36,90,GA,1634928621
205,Nadym,65.5333,72.5167,28.9,93,6.67,91,RU,1634928622
206,Akhtanizovskaya,45.32,37.1,61.27,87,14.43,0,RU,1634928622
207,Capula,19.7,-101.8,65.61,52,3.71,32,MX,1634928370
208,Bend,44.0582,-121.3153,49.37,80,1.99,1,US,1634928527
209,Bulawayo,-20.15,28.5833,73.36,42,3.51,37,ZW,1634928623
210,Cherskiy,68.75,161.3,-1.08,99,2.55,100,RU,1634928624
211,São João da Barra,-21.6403,-41.0511,77.09,70,10.98,10,BR,1634928624
212,Dunedin,-45.8742,170.5036,50.81,73,15.01,100,NZ,1634928459
213,Cartagena,10.3997,-75.5144,85.62,74,10.36,40,CO,1634927945
214,Loukhi,66.0764,33.0381,30.36,79,15.35,100,RU,1634928625
215,La Sarre,48.8002,-79.1996,33.75,64,8.7,100,CA,1634928625
216,College,64.8569,-147.8028,30.58,87,0.0,75,US,1634928626
217,Sola,-13.8833,167.55,80.62,77,7.47,95,VU,1634928626
218,Oranjemund,-28.55,16.4333,58.57,80,13.65,4,NA,1634928627
219,Makīnsk,52.6292,70.4169,31.35,96,19.17,100,KZ,1634928627
220,Todos Santos,23.45,-110.2167,90.01,79,9.33,0,MX,1634928628
221,Empalme,27.9667,-110.8167,97.79,27,5.14,5,MX,1634928628
222,Palmer,42.1584,-72.3287,70.75,58,1.01,75,US,1634928629
223,Antalaha,-14.9003,50.2788,73.54,93,2.42,88,MG,1634928629
224,Shunyi,40.125,116.6453,35.55,93,0.0,0,CN,1634928629
225,Greystones,53.1408,-6.0631,51.78,88,6.82,45,IE,1634928630
226,Caniço,32.6333,-16.85,72.23,77,13.8,40,PT,1634928630
227,Suntar,62.1444,117.6319,36.41,84,8.05,96,RU,1634928631
228,Sambava,-14.2667,50.1667,74.43,92,3.53,25,MG,1634928631
229,Yenagoa,4.9247,6.2642,73.89,96,3.56,100,NG,1634928632
230,Tateyama,34.9833,139.8667,55.42,75,17.0,79,JP,1634928632
231,Ozernovskiy,51.5,156.5167,38.93,71,14.56,94,RU,1634928632
232,Dutse,11.7594,9.3392,79.93,57,16.08,80,NG,1634928633
233,Provideniya,64.3833,-173.3,24.55,67,11.48,100,RU,1634928633
234,Karema,-6.8205,30.4389,76.69,70,4.29,31,TZ,1634928634
235,Sechura,-5.5569,-80.8222,77.7,60,13.51,83,PE,1634928634
236,Sept-Îles,50.2001,-66.3821,47.05,96,10.0,90,CA,1634928605
237,Timiryazevskiy,56.49,84.8769,39.09,63,12.84,100,RU,1634928635
238,Vestmannaeyjar,63.4427,-20.2734,43.79,100,33.38,90,IS,1634928635
239,Porto Murtinho,-21.6989,-57.8825,102.54,21,5.23,14,BR,1634928636
240,Lorengau,-2.0226,147.2712,80.91,76,8.55,99,PG,1634928610
241,Kupang,-10.1667,123.5833,78.89,86,5.5,20,ID,1634928619
242,Flinders,-34.5833,150.8552,59.81,87,1.01,4,AU,1634928636
243,Bānsi,27.1833,82.9333,70.66,68,2.59,0,IN,1634928637
244,Ilebo,-4.3167,20.5833,71.78,96,1.07,82,CD,1634928637
245,Pisco,-13.7,-76.2167,68.05,68,8.05,0,PE,1634928639
246,São Félix do Xingu,-6.6447,-51.995,83.1,65,4.9,100,BR,1634928128
247,Acapulco de Juárez,16.8634,-99.8901,84.02,74,0.0,90,MX,1634928572
248,Dvinskoy,62.1535,45.1175,38.68,87,7.85,8,RU,1634928641
249,Auburn,47.3073,-122.2284,57.87,91,1.99,90,US,1634928447
250,Aswān,24.0934,32.907,78.04,26,14.09,0,EG,1634928488
251,Xingcheng,40.6167,120.7167,47.57,47,4.09,0,CN,1634928643
252,Donghai,22.9459,115.642,64.94,80,6.53,59,CN,1634928643
253,Byron Bay,-28.65,153.6167,71.55,94,8.9,39,AU,1634928644
254,Coquimbo,-29.9533,-71.3436,62.33,67,16.11,20,CL,1634928381
255,Santa Isabel Rio Negro,-0.4139,-65.0192,93.96,44,1.61,55,BR,1634928645
256,Benoni,-26.1885,28.3208,67.71,69,7.99,1,ZA,1634928646
257,Shimoda,34.6667,138.95,54.1,82,7.47,44,JP,1634928111
258,Bankfoot,56.5,-3.5,47.8,88,1.16,64,GB,1634928647
259,Constitución,-35.3333,-72.4167,57.83,59,20.58,0,CL,1634928647
260,Manjacaze,-24.7117,33.8828,71.82,60,12.66,1,MZ,1634928648
261,Port Macquarie,-31.4333,152.9167,59.9,100,0.0,40,AU,1634928648
262,Zhigansk,66.7697,123.3711,15.66,96,6.11,100,RU,1634928649
263,Yangi Marg`ilon,40.4272,71.7189,47.12,49,4.61,40,UZ,1634928649
264,Longyearbyen,78.2186,15.6401,19.24,79,10.36,75,SJ,1634928650
265,Asbestovskiy,57.7557,61.3967,46.92,89,13.0,100,RU,1634928650
266,Houma,29.5958,-90.7195,87.01,70,2.39,9,US,1634928651
267,Lagunas,-5.2269,-75.6753,91.74,45,2.93,100,PE,1634928652
268,Charter Township of Clinton,42.587,-82.9199,52.97,64,1.01,90,US,1634928653
269,Cam Ranh,11.9214,109.1591,76.96,88,4.61,20,VN,1634928654
270,Buin,-33.7333,-70.75,71.92,24,10.8,24,CL,1634928655
271,Mt. Pleasant,32.7941,-79.8626,85.08,67,5.99,1,US,1634928655
272,Nabire,-3.3667,135.4833,74.52,91,3.58,100,ID,1634928656
273,New Norfolk,-42.7826,147.0587,56.75,85,1.28,100,AU,1634928656
274,Narsaq,60.9167,-46.05,37.2,92,3.47,100,GL,1634928657
275,Grand Gaube,-20.0064,57.6608,75.38,78,3.0,87,MU,1634928657
276,Adrar,20.5022,-10.0711,79.23,21,8.41,2,MR,1634928658
277,Mufumbwe,-13.6833,24.8,77.47,45,3.71,97,ZM,1634928658
278,Henties Bay,-22.116,14.2845,61.86,87,6.6,0,NA,1634928659
279,Kautokeino,69.0125,23.0412,16.93,91,9.37,74,NO,1634928660
280,Channel-Port aux Basques,47.5702,-59.1367,54.1,89,16.84,100,CA,1634928661
281,Snyder,32.7179,-100.9176,80.74,57,10.36,40,US,1634928647
282,Cessnock,-32.8333,151.35,61.14,98,1.41,8,AU,1634928662
283,Raudeberg,61.9875,5.1352,45.27,80,4.0,96,NO,1634928662
284,Sisimiut,66.9395,-53.6735,23.95,75,10.13,6,GL,1634928663
285,Epsom,51.3305,-0.2701,53.19,81,3.0,91,GB,1634928663
286,Haines Junction,60.7522,-137.5108,31.95,86,2.3,100,CA,1634928664
287,Tilichiki,60.4667,166.1,0.48,96,7.72,48,RU,1634928664
288,Ambovombe,-25.1667,46.0833,67.1,73,13.42,100,MG,1634928663
289,Champerico,14.3,-91.9167,90.14,72,5.28,39,GT,1634928665
290,Lüderitz,-26.6481,15.1594,57.04,89,7.43,0,NA,1634928665
291,Severo-Kuril'sk,50.6789,156.125,37.22,80,10.31,98,RU,1634928666
292,Hirado,33.3597,129.5531,58.35,67,23.0,72,JP,1634928666
293,Isangel,-19.55,169.2667,69.91,94,2.3,13,VU,1634928667
294,Katsuura,35.1333,140.3,55.51,83,14.29,48,JP,1634928667
295,Souillac,-20.5167,57.5167,75.36,83,6.91,75,MU,1634928668
296,Arandis,-22.4167,14.9667,55.47,75,4.07,0,NA,1634928668
297,Tadine,-21.55,167.8833,72.79,87,1.1,2,NC,1634928669
298,Union City,37.5958,-122.0192,64.56,85,5.01,40,US,1634928531
299,Jagdalpur,19.0667,82.0333,67.42,80,2.8,3,IN,1634928669
300,Lakatoro,-16.0999,167.4164,78.39,85,4.7,69,VU,1634928670
301,Necochea,-38.5473,-58.7368,57.04,79,8.75,100,AR,1634928670
302,Laguna,38.421,-121.4238,66.11,86,1.01,90,US,1634928671
303,Bethel,41.3712,-73.414,70.81,62,10.36,40,US,1634928671
304,Sovetskiy,61.3614,63.5842,35.22,98,9.66,100,RU,1634928672
305,Daloa,6.8774,-6.4502,74.03,95,3.47,25,CI,1634928673
306,Port Augusta,-32.5,137.7667,55.71,84,12.8,20,AU,1634928673
307,Jiangyou,31.7667,104.7167,54.46,89,1.45,100,CN,1634928673
308,Qarqīn,37.4185,66.0436,47.28,28,1.95,80,AF,1634928674
309,Luena,-11.7833,19.9167,65.14,90,2.24,100,AO,1634928674
310,Howard Springs,-12.497,131.047,84.11,95,4.59,13,AU,1634928675
311,Amuntai,-2.4177,115.2494,74.23,98,0.69,100,ID,1634928676
312,Sur,22.5667,59.5289,82.08,65,6.67,5,OM,1634928676
313,Oranjestad,12.524,-70.027,82.35,89,16.11,40,AW,1634928676
314,Arzgir,45.3728,44.2206,56.68,38,6.87,0,RU,1634928677
315,Teya,60.3778,92.6267,38.21,73,13.65,100,RU,1634928677
316,Panama City,8.9936,-79.5197,87.75,72,3.44,40,PA,1634928435
317,Safi,32.2994,-9.2372,66.31,68,19.77,0,MA,1634928678
318,Aklavik,68.2191,-135.0107,36.43,87,14.7,100,CA,1634928679
319,Summerville,33.0185,-80.1757,83.89,68,5.01,90,US,1634928520
320,Priiskovyy,51.9333,116.6333,28.36,89,4.83,5,RU,1634928679
321,Vostochnyy,55.8167,37.8667,46.11,61,15.3,60,RU,1634928680
322,Kaeo,-35.1,173.7833,59.32,97,19.3,100,NZ,1634928680
323,Vasto,42.1243,14.7059,59.45,75,3.74,43,IT,1634928681
324,Porbandar,21.6422,69.6093,79.25,64,11.32,12,IN,1634928681
325,Port Washington,40.8257,-73.6982,71.91,55,1.01,64,US,1634928682
326,Kosh-Agach,50.0,88.6667,30.96,59,0.92,100,RU,1634928682
327,Okha,53.5739,142.9478,34.2,85,14.67,100,RU,1634928683
328,Ishigaki,24.3448,124.1572,76.14,64,23.96,100,JP,1634928683
329,Loughton,52.0304,-0.7864,51.8,84,6.4,7,GB,1634928684
330,Ojinaga,29.5667,-104.4167,88.57,39,6.91,1,MX,1634928684
331,Chimbote,-9.0853,-78.5783,69.33,75,11.05,19,PE,1634928685
332,Guilin,25.2819,110.2864,55.51,84,4.83,100,CN,1634928424
333,Tendūkheda,23.4,79.55,68.5,58,4.72,0,IN,1634928685
334,Taganak,6.0833,118.3,75.34,79,13.2,100,PH,1634928686
335,Camopi,3.1655,-52.3158,86.0,62,6.13,78,GF,1634928686
336,Warrnambool,-38.3833,142.4833,53.82,88,9.93,100,AU,1634928687
337,Pringsewu,-5.3582,104.9744,73.4,96,2.84,100,ID,1634928687
338,Beloha,-25.1667,45.05,65.97,75,11.86,100,MG,1634928688
339,Sobolevo,54.4299,31.8996,43.36,67,14.81,95,RU,1634928689
340,Pacific Grove,36.6177,-121.9166,62.76,90,1.99,90,US,1634928689
341,Montrose,38.4166,-108.2673,58.37,18,4.79,79,US,1634928690
342,Tura,25.5198,90.2201,65.34,78,3.74,1,IN,1634928690
343,Żnin,52.8496,17.7199,45.34,80,18.59,98,PL,1634928438
344,Peniche,39.3558,-9.3811,64.96,80,17.07,0,PT,1634928691
345,Talnakh,69.4865,88.3972,16.84,94,3.96,100,RU,1634928691
346,Dubrovnik,42.6481,18.0922,65.84,82,11.5,40,HR,1634928691
347,Namatanai,-3.6667,152.4333,77.56,80,5.77,98,PG,1634928692
348,Xinzhi,36.4989,111.7047,48.97,67,3.42,8,CN,1634928692
349,Hamilton,39.1834,-84.5333,54.99,89,5.75,90,US,1634928693
350,Alakurtti,66.9672,30.3491,27.63,80,13.29,100,RU,1634928694
351,São Filipe,14.8961,-24.4956,82.81,60,8.32,0,CV,1634928694
352,Kumul,42.8,93.45,55.83,22,4.03,0,CN,1634928695
353,Bathsheba,13.2167,-59.5167,86.61,66,23.02,40,BB,1634928695
354,Tombouctou,20.0,-3.0,83.19,19,7.16,0,ML,1634928696
355,Mindelo,16.8901,-24.9804,85.55,45,20.71,4,CV,1634928696
356,Jarosław,50.0162,22.6778,48.92,57,12.57,19,PL,1634928533
